Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
11,CA-2025-587575,2025-11-24,2025-11-26,First Class,CUST-00264,Betty Sanchez,Home Office,United States,Richmond,Virginia,81819,South,TEC-CO-10000004,Technology,Copiers,Copier Model-D4,1601.8,5,0.2,600.9
12,CA-2025-749342,2025-03-28,2025-03-30,First Class,CUST-00210,Charles Davis,Corporate,United States,Milwaukee,Wisconsin,32241,Central,OFF-ST-10000004,Office Supplies,Storage,Storage Model-D4,317.34,9,0.0,68.67
13,CA-2024-905819,2024-11-22,2024-11-25,First Class,CUST-00064,Robert Johnson,Home Office,United States,Seattle,Washington,13201,West,FUR-BO-10000012,Furniture,Bookcases,Bookcase Model-L12,1168.88,8,0.0,92.22
14,CA-2024-105814,2024-03-15,2024-03-21,Standard Class,CUST-00244,Thomas Sanchez,Home Office,United States,Salt Lake City,Utah,60328,West,OFF-FA-10000007,Office Supplies,Fasteners,Fastener Model-G7,19.8,3,0.0,11.46
15,CA-2026-684482,2026-02-07,2026-02-08,Same Day,CUST-00348,Robert Lee,Corporate,United States,Chicago,Illinois,33053,Central,TEC-AC-10000011,Technology,Accessories,Accessorie Model-K11,1300.86,9,0.0,661.47
16,CA-2024-891937,2024-09-12,2024-09-13,Same Day,CUST-00182,Sandra Martin,Corporate,United States,Phoenix,Arizona,97500,West,OFF-LA-10000001,Office Supplies,Labels,Label Model-A1,247.2,10,0.0,158.04
17,CA-2025-888295,2025-03-29,2025-04-04,Standard Class,CUST-00208,Sandra Hernandez,Consumer,United States,Indianapolis,Indiana,68446,Central,TEC-MA-10000005,Technology,Machines,Machine Model-E5,2873.28,8,0.0,669.98
18,CA-2024-435239,2024-09-10,2024-09-13,First Class,CUST-00342,William Perez,Home Office,United States,Milwaukee,Wisconsin,41358,Central,OFF-AP-10000011,Office Supplies,Appliances,Appliance Model-K11,639.88,5,0.2,124.96
19,CA-2025-535970,2025-11-08,2025-11-12,Second Class,CUST-00304,James Perez,Home Office,United States,Salt Lake City,Utah,38043,West,FUR-CH-10000002,Furniture,Chairs,Chair Model-B2,1295.7,6,0.0,333.49
20,CA-2024-994905,2024-12-13,2024-12-20,Standard Class,CUST-00248,Karen Clark,Consumer,United States,Baltimore,Maryland,59857,East,OFF-FA-10000003,Office Supplies,Fasteners,Fastener Model-C3,5.18,6,0.2,-1.56
21,CA-2026-801364,2026-05-05,2026-05-11,Standard Class,CUST-00326,Margaret Lee,Home Office,United States,Phoenix,Arizona,38760,West,OFF-AP-10000010,Office Supplies,Appliances,Appliance Model-J10,158.96,1,0.0,59.53
22,CA-2025-795205,2025-11-26,2025-12-02,Standard Class,CUST-00042,Nora Pelletier,Consumer,United States,Chicago,Illinois,91560,Central,OFF-LA-10000002,Office Supplies,Labels,Label Model-B2,18.34,7,0.0,7.24
23,CA-2024-898207,2024-12-05,2024-12-12,Standard Class,CUST-00186,Anthony White,Home Office,United States,Los Angeles,California,44099,West,OFF-BI-10000008,Office Supplies,Binders,Binder Model-H8,220.24,8,0.0,123.96
24,CA-2026-466960,2026-06-19,2026-06-26,Standard Class,CUST-00164,Patricia Robinson,Corporate,United States,Miami,Florida,71644,South,FUR-BO-10000005,Furniture,Bookcases,Bookcase Model-E5,282.24,1,0.0,50.56
25,CA-2024-596564,2024-08-17,2024-08-24,Standard Class,CUST-00282,Robert Ramirez,Consumer,United States,New York,New York,42411,East,FUR-TA-10000007,Furniture,Tables,Table Model-G7,5564.0,10,0.2,-747.75
26,CA-2025-271720,2025-11-15,2025-11-21,Standard Class,CUST-00080,Ashley Perez,Home Office,United States,Atlanta,Georgia,89415,South,OFF-PA-10000006,Office Supplies,Paper,Paper Model-F6,116.02,2,0.0,72.21
27,CA-2024-991597,2024-11-30,2024-12-03,First Class,CUST-00244,Thomas Sanchez,Home Office,United States,Columbus,Ohio,35995,Central,FUR-CH-10000005,Furniture,Chairs,Chair Model-E5,458.94,4,0.6,-366.84
28,CA-2025-457806,2025-12-01,2025-12-02,Same Day,CUST-00238,Karen Anderson,Consumer,United States,Boston,Massachusetts,79827,East,OFF-EN-10000005,Office Supplies,Envelopes,Envelope Model-E5,43.08,2,0.0,27.16
29,CA-2024-556641,2024-01-13,2024-01-20,Standard Class,CUST-00200,Elizabeth Jackson,Consumer,United States,Wilmington,Delaware,57472,East,OFF-PA-10000013,Office Supplies,Paper,Paper Model-M13,432.32,8,0.0,268.21
30,CA-2024-971084,2024-06-29,2024-07-05,Standard Class,CUST-00088,Joseph Rodriguez,Home Office,United States,Columbus,Ohio,67091,Central,TEC-CO-10000002,Technology,Copiers,Copier Model-B2,3612.39,5,0.4,1044.13
31,CA-2024-440802,2024-03-29,2024-04-02,Second Class,CUST-00074,Mark Lopez,Consumer,United States,Indianapolis,Indiana,89997,Central,OFF-ST-10000007,Office Supplies,Storage,Storage Model-G7,88.22,1,0.0,34.11
32,CA-2024-189771,2024-07-05,2024-07-08,First Class,CUST-00082,Robert Martin,Home Office,United States,Charlotte,North Carolina,88139,South,OFF-ST-10000015,Office Supplies,Storage,Storage Model-O15,1445.2,9,0.1,552.31
33,CA-2024-197573,2024-09-04,2024-09-08,Second Class,CUST-00234,Betty Hernandez,Consumer,United States,Salt Lake City,Utah,72402,West,OFF-ST-10000001,Office Supplies,Storage,Storage Model-A1,1185.04,8,0.0,512.52
34,CA-2024-836996,2024-11-10,2024-11-16,Standard Class,CUST-00246,Patricia Johnson,Home Office,United States,Richmond,Virginia,82544,South,OFF-LA-10000001,Office Supplies,Labels,Label Model-A1,89.19,9,0.0,55.23
35,CA-2025-823688,2025-04-09,2025-04-12,First Class,CUST-00068,Robert Ramirez,Consumer,United States,Newark,New Jersey,35242,East,OFF-AR-10000006,Office Supplies,Art,Art Model-F6,93.42,9,0.0,38.05
36,CA-2024-842411,2024-12-09,2024-12-15,Standard Class,CUST-00250,Robert Robinson,Consumer,United States,Miami,Florida,35443,South,OFF-AR-10000001,Office Supplies,Art,Art Model-A1,45.72,3,0.0,22.63
37,CA-2025-561865,2025-11-02,2025-11-07,Second Class,CUST-00098,David Williams,Consumer,United States,Salt Lake City,Utah,74340,West,FUR-CH-10000012,Furniture,Chairs,Chair Model-L12,3192.72,10,0.2,398.63
38,CA-2024-189318,2024-11-09,2024-11-16,Standard Class,CUST-00194,Thomas Brown,Consumer,United States,New York,New York,62521,East,OFF-FA-10000006,Office Supplies,Fasteners,Fastener Model-F6,1.63,1,0.2,0.22
39,CA-2024-549660,2024-12-20,2024-12-25,Second Class,CUST-00266,Lisa Thompson,Corporate,United States,Denver,Colorado,59856,West,OFF-EN-10000011,Office Supplies,Envelopes,Envelope Model-K11,138.55,5,0.0,91.98
40,CA-2024-678805,2024-11-08,2024-11-09,Same Day,CUST-00262,Barbara Wilson,Home Office,United States,Philadelphia,Pennsylvania,91987,East,FUR-TA-10000010,Furniture,Tables,Table Model-J10,386.42,2,0.4,-311.01
41,CA-2024-576086,2024-12-15,2024-12-21,Standard Class,CUST-00254,Sarah Miller,Corporate,United States,Detroit,Michigan,14278,Central,FUR-TA-10000015,Furniture,Tables,Table Model-O15,1686.35,5,0.0,52.95
42,CA-2024-966785,2024-03-13,2024-03-16,First Class,CUST-00270,William Johnson,Home Office,United States,Phoenix,Arizona,25043,West,OFF-LA-10000005,Office Supplies,Labels,Label Model-E5,21.51,3,0.0,12.06
43,CA-2024-624783,2024-11-26,2024-11-29,First Class,CUST-00254,Sarah Miller,Corporate,United States,Richmond,Virginia,26299,South,OFF-EN-10000015,Office Supplies,Envelopes,Envelope Model-O15,155.54,7,0.0,101.88
44,CA-2025-901909,2025-07-06,2025-07-07,Same Day,CUST-00256,Donald Johnson,Consumer,United States,Wilmington,Delaware,52247,East,OFF-PA-10000005,Office Supplies,Paper,Paper Model-E5,33.79,2,0.1,14.65
45,CA-2025-765620,2025-11-19,2025-11-24,Second Class,CUST-00010,Joel Eaton,Home Office,United States,Phoenix,Arizona,78021,West,OFF-ST-10000002,Office Supplies,Storage,Storage Model-B2,398.4,5,0.2,99.4
46,CA-2026-827369,2026-04-13,2026-04-14,Same Day,CUST-00190,Joseph Perez,Home Office,United States,Richmond,Virginia,53687,South,OFF-AR-10000008,Office Supplies,Art,Art Model-H8,105.48,3,0.0,54.29
47,CA-2025-523808,2025-05-22,2025-05-26,Second Class,CUST-00338,David Martinez,Home Office,United States,Wilmington,Delaware,21542,East,OFF-AR-10000006,Office Supplies,Art,Art Model-F6,32.72,2,0.0,15.63
48,CA-2026-755788,2026-06-04,2026-06-05,Same Day,CUST-00286,Lisa Ramirez,Consumer,United States,Columbus,Ohio,17104,Central,FUR-TA-10000004,Furniture,Tables,Table Model-D4,4869.9,10,0.0,-19.51
49,CA-2025-844261,2025-03-28,2025-03-30,First Class,CUST-00086,Elizabeth Garcia,Corporate,United States,Portland,Oregon,67424,West,TEC-MA-10000001,Technology,Machines,Machine Model-A1,1616.85,2,0.1,299.3
50,CA-2024-779172,2024-06-11,2024-06-12,Same Day,CUST-00232,Patricia Johnson,Corporate,United States,Houston,Texas,39451,Central,TEC-PH-10000015,Technology,Phones,Phone Model-O15,1236.99,2,0.2,439.87
51,CA-2026-173201,2026-12-17,2026-12-23,Standard Class,CUST-00088,Joseph Rodriguez,Home Office,United States,Columbus,Ohio,71894,Central,OFF-AP-10000003,Office Supplies,Appliances,Appliance Model-C3,295.56,3,0.4,-11.37
52,CA-2024-708093,2024-10-09,2024-10-16,Standard Class,CUST-00162,Richard Thomas,Consumer,United States,Henderson,Kentucky,45018,South,TEC-CO-10000001,Technology,Copiers,Copier Model-A1,2014.1,5,0.0,1048.46
53,CA-2025-437408,2025-11-06,2025-11-08,First Class,CUST-00178,Lisa Thomas,Home Office,United States,Detroit,Michigan,53573,Central,OFF-LA-10000007,Office Supplies,Labels,Label Model-G7,136.85,7,0.0,88.8
54,CA-2026-619389,2026-11-19,2026-11-23,Second Class,CUST-00068,Robert Ramirez,Consumer,United States,Houston,Texas,51704,Central,OFF-SU-10000011,Office Supplies,Supplies,Supplie Model-K11,220.79,7,0.4,-35.0
55,CA-2024-261859,2024-12-28,2024-12-29,Same Day,CUST-00174,Mark Williams,Home Office,United States,Baltimore,Maryland,69890,East,FUR-BO-10000004,Furniture,Bookcases,Bookcase Model-D4,1925.42,7,0.0,218.85
56,CA-2024-432043,2024-03-17,2024-03-20,First Class,CUST-00122,James Lee,Consumer,United States,Milwaukee,Wisconsin,20527,Central,TEC-CO-10000009,Technology,Copiers,Copier Model-I9,6852.78,9,0.0,3751.67
57,CA-2025-883041,2025-10-03,2025-10-10,Standard Class,CUST-00198,John Jackson,Home Office,United States,Baltimore,Maryland,18968,East,OFF-AP-10000001,Office Supplies,Appliances,Appliance Model-A1,1038.95,5,0.0,407.53
58,CA-2024-407618,2024-04-02,2024-04-03,Same Day,CUST-00338,David Martinez,Home Office,United States,Wilmington,Delaware,31805,East,OFF-ST-10000013,Office Supplies,Storage,Storage Model-M13,66.51,1,0.1,14.56
59,CA-2025-749813,2025-01-02,2025-01-04,First Class,CUST-00074,Mark Lopez,Consumer,United States,Indianapolis,Indiana,99364,Central,TEC-AC-10000008,Technology,Accessories,Accessorie Model-H8,104.18,3,0.2,33.58
60,CA-2025-810526,2025-11-08,2025-11-12,Second Class,CUST-00276,Mary Jackson,Corporate,United States,Richmond,Virginia,43466,South,OFF-ST-10000006,Office Supplies,Storage,Storage Model-F6,173.52,8,0.0,6.76
61,CA-2025-994787,2025-12-31,2026-01-03,First Class,CUST-00250,Robert Robinson,Consumer,United States,Nashville,Tennessee,65615,South,OFF-ST-10000012,Office Supplies,Storage,Storage Model-L12,260.08,5,0.2,47.53
62,CA-2025-735863,2025-12-19,2025-12-22,First Class,CUST-00244,Thomas Sanchez,Home Office,United States,Nashville,Tennessee,48696,South,FUR-BO-10000006,Furniture,Bookcases,Bookcase Model-F6,2167.51,7,0.1,186.25
63,CA-2026-758765,2026-02-02,2026-02-05,First Class,CUST-00346,Sarah Rodriguez,Consumer,United States,Denver,Colorado,56179,West,FUR-TA-10000012,Furniture,Tables,Table Model-L12,4510.4,10,0.2,-781.9
64,CA-2024-442589,2024-04-09,2024-04-15,Standard Class,CUST-00010,Joel Eaton,Home Office,United States,Richmond,Virginia,14373,South,OFF-LA-10000014,Office Supplies,Labels,Label Model-N14,24.94,3,0.2,13.19
65,CA-2026-945664,2026-02-04,2026-02-06,First Class,CUST-00033,Gary Detector,Home Office,United States,Henderson,Kentucky,75771,South,TEC-MA-10000009,Technology,Machines,Machine Model-I9,1134.07,3,0.2,51.76
66,CA-2024-943671,2024-10-29,2024-11-01,First Class,CUST-00029,Joe Elijah,Home Office,United States,Houston,Texas,28449,Central,OFF-SU-10000014,Office Supplies,Supplies,Supplie Model-N14,678.93,7,0.0,236.57
67,CA-2025-962367,2025-07-24,2025-07-31,Standard Class,CUST-00152,Mark Lee,Home Office,United States,Boston,Massachusetts,80329,East,FUR-FU-10000002,Furniture,Furnishings,Furnishing Model-B2,300.15,5,0.0,130.08
68,CA-2025-739717,2025-10-15,2025-10-16,Same Day,CUST-00294,Jessica Perez,Home Office,United States,Phoenix,Arizona,13280,West,OFF-PA-10000009,Office Supplies,Paper,Paper Model-I9,482.67,9,0.0,286.74
69,CA-2024-616554,2024-08-14,2024-08-20,Standard Class,CUST-00186,Anthony White,Home Office,United States,Nashville,Tennessee,63516,South,FUR-CH-10000015,Furniture,Chairs,Chair Model-O15,105.91,1,0.0,21.07
70,CA-2024-745558,2024-11-13,2024-11-17,Second Class,CUST-00138,Anthony Lee,Corporate,United States,Indianapolis,Indiana,30253,Central,TEC-MA-10000002,Technology,Machines,Machine Model-B2,1229.76,2,0.0,308.93
71,CA-2025-670913,2025-02-21,2025-02-24,First Class,CUST-00008,Alejandro Grove,Home Office,United States,Atlanta,Georgia,68115,South,OFF-EN-10000009,Office Supplies,Envelopes,Envelope Model-I9,138.05,6,0.2,80.28
72,CA-2025-153035,2025-10-22,2025-10-26,Second Class,CUST-00090,Matthew Moore,Consumer,United States,Los Angeles,California,69600,West,FUR-CH-10000009,Furniture,Chairs,Chair Model-I9,3151.1,10,0.0,902.88
73,CA-2026-926952,2026-03-16,2026-03-18,First Class,CUST-00238,Karen Anderson,Consumer,United States,Los Angeles,California,82641,West,FUR-TA-10000009,Furniture,Tables,Table Model-I9,1699.68,4,0.2,-306.23
74,CA-2025-926730,2025-11-05,2025-11-10,Second Class,CUST-00078,Lisa Rodriguez,Home Office,United States,Los Angeles,California,96646,West,TEC-CO-10000012,Technology,Copiers,Copier Model-L12,428.36,1,0.0,217.02
75,CA-2024-599380,2024-08-31,2024-09-01,Same Day,CUST-00044,Zack Olson,Consumer,United States,Miami,Florida,26614,South,OFF-SU-10000010,Office Supplies,Supplies,Supplie Model-J10,95.78,2,0.0,23.31
76,CA-2025-790909,2025-04-04,2025-04-09,Second Class,CUST-00252,Jennifer Wilson,Corporate,United States,Wilmington,Delaware,76039,East,FUR-TA-10000012,Furniture,Tables,Table Model-L12,764.52,1,0.0,64.68
77,CA-2025-565108,2025-06-17,2025-06-23,Standard Class,CUST-00007,Pete Kriz,Consumer,United States,Wilmington,Delaware,62640,East,OFF-EN-10000005,Office Supplies,Envelopes,Envelope Model-E5,177.2,8,0.0,117.64
78,CA-2024-440981,2024-03-16,2024-03-19,First Class,CUST-00260,David Robinson,Corporate,United States,Los Angeles,California,26540,West,OFF-AP-10000011,Office Supplies,Appliances,Appliance Model-K11,2060.8,10,0.0,777.36
79,CA-2025-782535,2025-01-25,2025-01-30,Second Class,CUST-00100,Ashley Jackson,Home Office,United States,Indianapolis,Indiana,89354,Central,OFF-EN-10000006,Office Supplies,Envelopes,Envelope Model-F6,14.96,2,0.0,8.47
80,CA-2026-427730,2026-06-17,2026-06-23,Standard Class,CUST-00060,Donald Ramirez,Corporate,United States,Columbus,Ohio,39949,Central,OFF-EN-10000001,Office Supplies,Envelopes,Envelope Model-A1,86.21,8,0.2,47.48
81,CA-2025-880758,2025-03-13,2025-03-16,First Class,CUST-00140,Patricia Martinez,Corporate,United States,Salt Lake City,Utah,72163,West,FUR-CH-10000003,Furniture,Chairs,Chair Model-C3,155.68,2,0.1,3.24
82,CA-2026-797660,2026-01-26,2026-01-28,First Class,CUST-00234,Betty Hernandez,Consumer,United States,Baltimore,Maryland,83608,East,OFF-LA-10000009,Office Supplies,Labels,Label Model-I9,19.16,2,0.0,11.41
83,CA-2026-335137,2026-02-07,2026-02-13,Standard Class,CUST-00013,Emily Burns,Consumer,United States,Henderson,Kentucky,50953,South,OFF-BI-10000001,Office Supplies,Binders,Binder Model-A1,72.58,9,0.2,19.23
84,CA-2026-773918,2026-12-04,2026-12-11,Standard Class,CUST-00092,Lisa Hernandez,Consumer,United States,Phoenix,Arizona,83526,West,TEC-PH-10000010,Technology,Phones,Phone Model-J10,7139.5,10,0.0,3505.75
85,CA-2025-520252,2025-12-01,2025-12-03,First Class,CUST-00088,Joseph Rodriguez,Home Office,United States,Charlotte,North Carolina,56009,South,FUR-BO-10000002,Furniture,Bookcases,Bookcase Model-B2,386.94,3,0.0,21.74
86,CA-2024-440140,2024-11-03,2024-11-09,Standard Class,CUST-00220,Margaret Thomas,Corporate,United States,Phoenix,Arizona,65028,West,OFF-EN-10000012,Office Supplies,Envelopes,Envelope Model-L12,81.12,6,0.0,51.98
87,CA-2026-609253,2026-03-06,2026-03-11,Second Class,CUST-00021,Shirley Jackson,Home Office,United States,Philadelphia,Pennsylvania,30632,East,OFF-SU-10000014,Office Supplies,Supplies,Supplie Model-N14,26.24,2,0.8,-62.49
88,CA-2025-799539,2025-09-13,2025-09-16,First Class,CUST-00060,Donald Ramirez,Corporate,United States,Boston,Massachusetts,66349,East,FUR-CH-10000014,Furniture,Chairs,Chair Model-N14,1633.0,10,0.0,371.55
89,CA-2024-108105,2024-12-20,2024-12-21,Same Day,CUST-00001,Darrin Van Huff,Consumer,United States,Portland,Oregon,37686,West,TEC-AC-10000002,Technology,Accessories,Accessorie Model-B2,170.28,5,0.1,55.14
90,CA-2025-557409,2025-05-24,2025-05-26,First Class,CUST-00033,Gary Detector,Home Office,United States,Indianapolis,Indiana,40161,Central,OFF-FA-10000009,Office Supplies,Fasteners,Fastener Model-I9,47.63,6,0.1,25.75
91,CA-2024-440544,2024-01-20,2024-01-21,Same Day,CUST-00110,Karen Moore,Corporate,United States,Indianapolis,Indiana,63008,Central,OFF-SU-10000002,Office Supplies,Supplies,Supplie Model-B2,304.25,5,0.1,63.92
92,CA-2024-649414,2024-06-24,2024-06-29,Second Class,CUST-00184,William Robinson,Home Office,United States,Miami,Florida,67240,South,TEC-CO-10000007,Technology,Copiers,Copier Model-G7,3615.15,7,0.0,1889.09
93,CA-2024-656379,2024-03-21,2024-03-24,First Class,CUST-00330,Barbara Robinson,Home Office,United States,Atlanta,Georgia,53655,South,TEC-AC-10000005,Technology,Accessories,Accessorie Model-E5,376.74,9,0.0,171.21
94,CA-2025-897143,2025-12-12,2025-12-18,Standard Class,CUST-00280,Jennifer Johnson,Home Office,United States,Seattle,Washington,23474,West,FUR-FU-10000008,Furniture,Furnishings,Furnishing Model-H8,114.48,3,0.0,45.24
95,CA-2026-754858,2026-02-16,2026-02-18,First Class,CUST-00344,Sandra Rodriguez,Home Office,United States,Columbus,Ohio,83889,Central,OFF-SU-10000015,Office Supplies,Supplies,Supplie Model-O15,621.5,10,0.0,198.6
96,CA-2024-720148,2024-11-26,2024-12-02,Standard Class,CUST-00110,Karen Moore,Corporate,United States,Phoenix,Arizona,18950,West,OFF-FA-10000001,Office Supplies,Fasteners,Fastener Model-A1,35.95,5,0.0,21.16
97,CA-2024-744883,2024-02-27,2024-02-28,Same Day,CUST-00108,James Davis,Home Office,United States,Columbus,Ohio,14929,Central,FUR-BO-10000015,Furniture,Bookcases,Bookcase Model-O15,718.24,5,0.2,-142.61
98,CA-2025-258189,2025-08-31,2025-09-04,Second Class,CUST-00246,Patricia Johnson,Home Office,United States,Wilmington,Delaware,84928,East,OFF-ST-10000002,Office Supplies,Storage,Storage Model-B2,538.8,10,0.0,169.4
99,CA-2024-649525,2024-03-04,2024-03-11,Standard Class,CUST-00124,Margaret Perez,Corporate,United States,Baltimore,Maryland,94689,East,FUR-FU-10000015,Furniture,Furnishings,Furnishing Model-O15,114.48,8,0.0,25.24
100,CA-2025-169113,2025-06-19,2025-06-22,First Class,CUST-00140,Patricia Martinez,Corporate,United States,Richmond,Virginia,63578,South,TEC-AC-10000004,Technology,Accessories,Accessorie Model-D4,511.92,10,0.2,183.97
101,CA-2024-787923,2024-12-10,2024-12-13,First Class,CUST-00320,Susan Martinez,Consumer,United States,Portland,Oregon,20682,West,OFF-LA-10000015,Office Supplies,Labels,Label Model-O15,103.56,6,0.0,66.49
102,CA-2025-802667,2025-12-16,2025-12-18,First Class,CUST-00254,Sarah Miller,Corporate,United States,Boston,Massachusetts,83259,East,OFF-BI-10000007,Office Supplies,Binders,Binder Model-G7,313.14,6,0.0,185.54
103,CA-2025-289019,2025-12-20,2025-12-26,Standard Class,CUST-00300,Lisa Thompson,Corporate,United States,Newark,New Jersey,97878,East,OFF-EN-10000004,Office Supplies,Envelopes,Envelope Model-D4,17.71,1,0.0,11.6
104,CA-2024-665990,2024-08-07,2024-08-14,Standard Class,CUST-00198,John Jackson,Home Office,United States,Seattle,Washington,28030,West,FUR-FU-10000010,Furniture,Furnishings,Furnishing Model-J10,36.98,2,0.0,10.49
105,CA-2026-856215,2026-05-05,2026-05-10,Second Class,CUST-00009,Ola Baker,Consumer,United States,Henderson,Kentucky,27176,South,OFF-PA-10000003,Office Supplies,Paper,Paper Model-C3,69.44,3,0.1,36.43
106,CA-2025-424500,2025-12-22,2025-12-28,Standard Class,CUST-00070,Sandra Brown,Corporate,United States,Indianapolis,Indiana,47346,Central,OFF-SU-10000013,Office Supplies,Supplies,Supplie Model-M13,557.06,8,0.1,153.68
107,CA-2026-627335,2026-04-08,2026-04-15,Standard Class,CUST-00049,Alan Barnes,Corporate,United States,Nashville,Tennessee,84766,South,TEC-PH-10000013,Technology,Phones,Phone Model-M13,2262.4,5,0.0,1099.2
108,CA-2025-207573,2025-06-24,2025-06-26,First Class,CUST-00052,Betty Anderson,Home Office,United States,Portland,Oregon,16839,West,OFF-PA-10000015,Office Supplies,Paper,Paper Model-O15,188.58,6,0.0,110.58
109,CA-2025-196168,2025-12-29,2026-01-05,Standard Class,CUST-00031,Justin Ritter,Consumer,United States,Miami,Florida,31012,South,OFF-AP-10000010,Office Supplies,Appliances,Appliance Model-J10,1168.78,9,0.2,257.25
110,CA-2024-493124,2024-08-15,2024-08-18,First Class,CUST-00006,Harold Pawlan,Consumer,United States,Houston,Texas,61964,Central,OFF-FA-10000009,Office Supplies,Fasteners,Fastener Model-I9,43.68,7,0.0,23.58
111,CA-2024-245534,2024-11-27,2024-12-03,Standard Class,CUST-00282,Robert Ramirez,Consumer,United States,Atlanta,Georgia,28035,South,FUR-BO-10000010,Furniture,Bookcases,Bookcase Model-J10,1259.68,8,0.0,154.92
112,CA-2026-862560,2026-02-16,2026-02-20,Second Class,CUST-00264,Betty Sanchez,Home Office,United States,New York,New York,12490,East,OFF-AP-10000006,Office Supplies,Appliances,Appliance Model-F6,311.73,3,0.0,95.28
113,CA-2025-753064,2025-09-15,2025-09-16,Same Day,CUST-00346,Sarah Rodriguez,Consumer,United States,Atlanta,Georgia,49472,South,FUR-FU-10000002,Furniture,Furnishings,Furnishing Model-B2,106.75,7,0.0,0.87
114,CA-2025-698384,2025-12-20,2025-12-25,Second Class,CUST-00004,Andrew Allen,Corporate,United States,Salt Lake City,Utah,28818,West,OFF-AP-10000015,Office Supplies,Appliances,Appliance Model-O15,1573.1,10,0.0,557.89
115,CA-2025-474440,2025-11-17,2025-11-20,First Class,CUST-00017,Roy Phan,Consumer,United States,Wilmington,Delaware,71621,East,FUR-BO-10000012,Furniture,Bookcases,Bookcase Model-L12,1358.8,6,0.1,76.46
116,CA-2026-774020,2026-11-24,2026-11-30,Standard Class,CUST-00270,William Johnson,Home Office,United States,Baltimore,Maryland,53583,East,FUR-FU-10000005,Furniture,Furnishings,Furnishing Model-E5,133.92,9,0.0,30.96
117,CA-2024-145934,2024-06-28,2024-07-04,Standard Class,CUST-00186,Anthony White,Home Office,United States,Milwaukee,Wisconsin,33891,Central,TEC-AC-10000013,Technology,Accessories,Accessorie Model-M13,270.22,8,0.1,109.51
118,CA-2026-787584,2026-11-11,2026-11-14,First Class,CUST-00212,Lisa Thomas,Consumer,United States,Indianapolis,Indiana,72049,Central,OFF-AP-10000005,Office Supplies,Appliances,Appliance Model-E5,212.98,4,0.1,22.83
119,CA-2024-620306,2024-12-05,2024-12-12,Standard Class,CUST-00138,Anthony Lee,Corporate,United States,Columbus,Ohio,67637,Central,TEC-MA-10000005,Technology,Machines,Machine Model-E5,6938.88,6,0.0,1937.66
120,CA-2025-436814,2025-12-09,2025-12-16,Standard Class,CUST-00214,Karen Jones,Home Office,United States,Miami,Florida,65640,South,FUR-CH-10000006,Furniture,Chairs,Chair Model-F6,666.72,3,0.0,185.35
